Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
442214,2020-12-07 03:17:26,30518196150127,fraud_Huel Ltd,misc_net,835.3,Karen,Sullivan,F,6313 Scott Trace,Rossville,IL,60963,40.3625,-87.6692,1807,"Buyer, retail",1975-06-02,c5507e9c87a70eccfd50435075e61d3b,1386386246,40.000226,-86.780113,1
334523,2019-06-08 07:55:50,60427851591,fraud_Kiehn-Emmerich,grocery_pos,116.26,Bradley,Martinez,M,3426 David Divide Suite 717,Burns Flat,OK,73624,35.3492,-99.188,2142,Politician's assistant,1976-06-30,7fd556f83e5f21f96a14537d41c7f23e,1339142150,35.109179,-98.450502,0
273950,2020-09-30 20:41:56,180020605265701,fraud_Price Inc,shopping_net,1017.05,John,Lewis,M,7908 Derrick Mount,Morrowville,KS,66958,39.8616,-97.1825,314,Chemical engineer,2002-03-17,6e6d5617e7cb77a58e4dbce0b87f4096,1380573716,39.610904,-97.718659,1
141427,2020-08-09 22:20:35,4010002218955876,"fraud_Lesch, D'Amore and Brown",food_dining,10.17,Jennifer,Bishop,F,589 Matthew Brooks,Houston,TX,77026,29.7972,-95.3288,2906700,Animator,1983-08-24,afdddc5948158e4aba008a6815a3726c,1376086835,29.795936,-94.359009,0
331267,2020-10-26 09:37:41,4992346398065154184,fraud_Kling Inc,gas_transport,33.77,Benjamin,Kim,M,920 Patrick Light,Mc Nabb,IL,61335,41.173,-89.2187,532,Audiological scientist,1956-01-09,b8d698f798d6c539c515e6f1ab810f27,1382780261,41.762097,-90.125259,0
474552,2019-07-27 23:04:17,3595111028444131,"fraud_Schultz, Simonis and Little",grocery_pos,338.99,Jeffery,Sanders,M,5278 Sarah Station Apt. 009,Cardwell,MO,63829,36.0434,-90.2907,1120,Television floor manager,1957-04-17,666b191a227bf0b189096bb725653dc3,1343430257,37.010298,-89.99060300000001,1
1100995,2020-04-03 00:53:06,345832460465610,"fraud_Kovacek, Dibbert and Ondricka",grocery_pos,291.76,Jason,Mcmahon,M,6385 Donald Square Suite 429,Springfield,VA,22151,38.8029,-77.2116,104396,Production engineer,1950-11-20,734c0c713db46a4f84885ee2b6ee3a67,1364950386,37.825425,-77.075284,1
743691,2019-11-14 10:06:34,4550599031376731,"fraud_Rowe, Batz and Goodwin",grocery_pos,329.8,Angela,West,F,9471 Wong Islands,Mansfield,OH,44902,40.7559,-82.5123,92985,Press photographer,1968-05-29,3ed31f715f0e7d598c5599e78b61838b,1352887594,41.405321,-83.231199,1
802604,2019-12-05 00:22:55,4102003771126577611,fraud_Rau and Sons,grocery_pos,303.92,William,Fitzgerald,M,715 Courtney Pike Suite 932,Keller,TX,76248,32.9276,-97.2489,95035,Probation officer,1987-06-13,1f0cc8138ca51123d58301b0b57d4576,1354666975,33.683901,-97.318818,1
275829,2020-10-01 23:19:53,180020605265701,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,944.94,John,Lewis,M,7908 Derrick Mount,Morrowville,KS,66958,39.8616,-97.1825,314,Chemical engineer,2002-03-17,0df4160cddfb8081d0dd603105e8d2a9,1380669593,40.714495,-97.675129,1
211672,2019-04-18 07:42:02,4079773899158,fraud_Bartoletti-Wunsch,gas_transport,71.83,Eric,Preston,M,7020 Doyle Stream Apt. 951,Mesa,ID,83643,44.6255,-116.4493,129,Cartographer,1965-12-15,aeb078e4f3a70008e8f414138dfd4a02,1334734922,45.482736,-117.241036,0
65627,2020-07-13 21:18:53,2305336922781618,fraud_Spencer PLC,entertainment,24.63,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,1961-02-14,16510595d7fc815ba9537aa3e3b50bc9,1373750333,40.34308,-93.572764,0
283743,2019-05-19 22:42:58,38199021865320,"fraud_Kuhic, Bins and Pfeffer",shopping_net,916.79,Jesse,Roberts,M,8415 Vaughn Squares Apt. 788,Acworth,NH,3601,43.196000000000005,-72.3001,477,Naval architect,1988-04-15,cc198bd336468d308c7c88c58b72bb8b,1337467378,43.843171000000005,-72.13547,1
90132,2020-07-22 02:39:51,4797297220948468262,fraud_Torp-Labadie,gas_transport,8.81,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,1991-03-13,d94b12b3e7c8785ac97a790a24091974,1374460791,39.429037,-87.423242,1
388449,2019-06-27 04:23:33,4610050989831291,fraud_Schamberger-O'Keefe,grocery_pos,103.99,James,Lynch,M,5155 Mary Common Apt. 927,Utica,PA,16362,41.4798,-79.9403,1102,Garment/textile technologist,1989-07-08,81084ecbf3a0b061f35133aabeb2b5b3,1340771013,42.173509,-80.598384,0
579253,2019-09-02 11:17:10,2720894374956739,fraud_Huels-Hahn,gas_transport,74.37,Audrey,Hickman,F,3325 Gregory Square,Mount Clemens,MI,48043,42.5978,-82.8823,16305,"Psychologist, sport and exercise",1927-05-25,ab60ab56ae3c1fb4e82309c2ec60929e,1346584630,41.96832,-83.309664,0
245895,2020-09-18 23:45:20,30029052116970,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,980.65,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,0bff0ccd1f0f8decdcc9cb7671e0a6be,1379547920,42.967723,-79.707603,1
758862,2019-11-20 22:42:39,30030380240193,fraud_Gerlach Inc,shopping_net,1047.73,William,Jenkins,M,50614 Kevin Point,Harper,TX,78631,30.2816,-99.241,2395,"Pharmacist, community",1993-11-17,4305f2d9e1c06f035093aa469adeee42,1353451359,30.001192,-100.206732,1
1286755,2020-06-17 00:56:36,3527536963490470,fraud_Rau and Sons,grocery_pos,369.32,Teresa,Stein,F,2838 White Fields Apt. 473,Brunson,SC,29911,32.9413,-81.1807,1725,Social researcher,1974-12-05,b37d7eecbc5fdf5192004749efd9c624,1371430596,33.236714,-82.066599,1
1097735,2020-04-01 00:45:18,4562827002127,fraud_Cartwright-Harris,grocery_pos,276.93,Christopher,Johnson,M,28711 Kristine Junction Suite 309,Greenville,OH,45331,40.0987,-84.6342,22930,Media planner,1971-11-26,ebe669ed44cb49cb8511cac365fe10d6,1364777118,39.35925,-83.737629,1
1293005,2020-06-20 00:41:43,4986925034905735,fraud_Heidenreich PLC,grocery_pos,292.14,Erika,Gonzalez,F,907 Courtney Via Apt. 896,Irvine,KY,40336,37.6858,-83.9862,13061,"Editor, magazine features",1959-06-18,eb70a8d47cc34456eb992334e34637ae,1371688903,38.018017,-83.004703,1
1161428,2020-04-29 01:50:05,639095706599,fraud_Bauch-Raynor,grocery_pos,318.74,Kyle,Wilkinson,M,93970 Trujillo Causeway,Curlew,IA,50527,42.9633,-94.7975,223,Estate manager/land agent,1939-04-14,8cfaaa9dc5a3156f5c844c6af008cbfb,1367200205,43.505949,-93.801043,1
121371,2019-03-09 13:54:27,4005676619255478,fraud_Barrows PLC,shopping_pos,2.82,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,e50e78abd39338ab0e0ebf0b33c07fec,1331301267,30.851206,-90.035972,0
1228310,2020-05-27 19:15:17,4344955088481397,fraud_Abshire PLC,entertainment,454.93,Christopher,Rodgers,M,30587 Fox Shores Apt. 627,Fenelton,PA,16034,40.8555,-79.7372,2054,Communications engineer,1976-09-29,265298c5db909b85a28bdb787ed49c0d,1369682117,41.634381,-80.201413,1
398757,2020-11-24 14:33:12,30175986190993,"fraud_Runolfsdottir, Mueller and Hand",entertainment,68.42,Rebecca,Butler,F,0665 Lisa Alley,Winger,MN,56592,47.5375,-95.9941,516,Applications developer,1966-06-07,cb53b0baf2faf1227d9ee32a34c55678,1385303592,47.605283,-95.656161,0
511089,2019-08-09 23:37:58,2287277963630565,fraud_Pouros-Haag,shopping_pos,928.93,Calvin,Molina,M,046 Michelle Fort Suite 314,Medford,NY,11763,40.8174,-72.9852,28506,Forest/woodland manager,1939-04-13,53ccc5ef37f969d54ce0f3f91a3f1820,1344555478,40.642427000000005,-73.49019200000001,1
703362,2019-10-27 12:55:16,30518196150127,fraud_Jast and Sons,food_dining,90.42,Karen,Sullivan,F,6313 Scott Trace,Rossville,IL,60963,40.3625,-87.6692,1807,"Buyer, retail",1975-06-02,eac5cafdc2a1a053d5adf1bb37ee6637,1351342516,39.598104,-87.521828,0
124965,2020-08-03 20:24:32,3576431665303017,"fraud_Dare, Casper and Bartoletti",kids_pets,121.53,Jessica,Ward,F,72269 Elizabeth Field Apt. 132,Phoenix,AZ,85020,33.5623,-112.0559,1312922,Contractor,1981-10-24,fa7da8f6268ec53c4ff2ff9e523269bb,1375561472,33.536643,-111.089163,0
187307,2020-08-25 16:30:30,3504178999463051,fraud_Abshire PLC,entertainment,6.34,Drew,Garcia,M,70858 Jasmine Meadows Apt. 135,Lima,OH,45801,40.7641,-84.0973,86954,"Copywriter, advertising",1992-07-23,b1b2919bd9c6f29a79a81c00e2e81141,1377448230,40.959694,-84.59569499999999,0
24805,2019-01-15 08:59:45,4789911625179723,"fraud_Moen, Reinger and Murphy",grocery_pos,331.2,Dorothy,Zuniga,F,77321 Ford Via,Moriches,NY,11955,40.8095,-72.8229,3285,"Research officer, trade union",1988-04-27,41a8ff921f841ee559fbced7b443a9a5,1326617985,40.564488,-72.872646,1
56454,2019-02-03 13:46:00,4745996322265,fraud_Beier LLC,entertainment,81.6,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",1998-10-07,03a8a96faac8bc98848930394b5dd7a4,1328276760,42.204128,-87.064115,0
120052,2019-03-08 23:58:41,30501624614310,fraud_Reichel Inc,entertainment,492.84,Amanda,Smith,F,180 Graves Shore,Scotia,SC,29939,32.6786,-81.2455,302,Magazine features editor,1973-05-04,fcb3cb2275d8b1db99ddfba8d185b6c4,1331251121,31.939261,-81.328805,1
135418,2020-08-07 20:54:15,372520049757633,fraud_Adams-Barrows,health_fitness,25.32,Lori,Ramirez,F,4293 Ramirez Squares,Ranier,MN,56668,48.6031,-93.2977,136,Ceramics designer,2000-02-20,bb1becc4f71859297951eeee9e119884,1375908855,48.728143,-94.105909,0
960765,2020-01-21 19:50:58,30234966027947,"fraud_Runolfsdottir, Mueller and Hand",entertainment,2.56,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,1978-01-22,09773d95cbe7c39d79ea2b4f848fa258,1358797858,44.17686,-88.100266,0
144624,2019-03-18 23:26:35,4661996144291811856,"fraud_Walter, Hettinger and Kessler",personal_care,64.41,Linda,Park,F,24607 Charles Mountains,Fenelton,PA,16034,40.8555,-79.7372,2054,Operations geologist,1963-08-04,bcc0f473616d91e6d15fb7ec4a87809e,1332113195,41.7064,-78.968728,0
921953,2019-12-30 23:59:59,213155997615567,"fraud_Moore, Dibbert and Koepp",misc_net,729.29,James,Yoder,M,83359 Lopez Point,Clune,PA,15727,40.5503,-79.3237,168,Race relations officer,1978-10-04,0e3fd6a1c873eca2904df620ee44ff1b,1356911999,40.127416,-78.579877,1
179492,2019-04-03 23:47:59,373043435942726,fraud_Kassulke PLC,shopping_net,1083.02,Vincent,Richards,M,2064 Tyler Fork,Beasley,TX,77417,29.479,-95.9681,2457,Trading standards officer,1981-03-04,dc3160e9a11757e3dda96a6f26eca80f,1333496879,29.701781,-96.900946,1
14064,2020-06-26 01:51:55,213161231269724,fraud_Kilback LLC,grocery_pos,315.72,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,79f7c82fe50e90466309135ad1b793d9,1372211515,34.843287,-85.800046,1
500716,2019-08-05 14:20:39,4599735407877245080,fraud_Larkin Ltd,kids_pets,78.23,Mary,Myers,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,1964-12-30,ce7f0274ca67130156698fab2220c695,1344176439,36.480669,-89.36131999999999,0
502265,2020-12-20 13:08:41,4586810168620942,fraud_Lynch Ltd,shopping_pos,202.75,Michelle,Gregory,F,6983 Carrillo Isle,Edisto Island,SC,29438,32.5486,-80.307,2408,"Sales professional, IT",1997-07-05,4899c96b470e7771eda027c017ff19ed,1387544921,32.519194,-79.852104,0
1213145,2020-05-22 16:56:25,377654590313960,"fraud_O'Connell, Botsford and Hand",home,63.7,Lawrence,Davis,M,7421 Serrano Lane Apt. 580,Powell,TN,37849,36.0435,-84.04,25459,"Teacher, special educational needs",1969-02-22,5019555bb97d050586c235b9ab533b3f,1369241785,35.544422,-84.442924,0
